region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Delmiro Gouveia,2020-10-26,,estimate,0,0,0,0,0,0,0,0,1
Delmiro Gouveia,2020-10-05,,estimate,0,0,1,0,0,0,0,0,1
Delmiro Gouveia,2020-10-12,,estimate,0,0,1,0,0,0,0,0,1
Delmiro Gouveia,2020-10-19,,estimate,0,0,1,0,0,0,0,0,1
Delmiro Gouveia,2020-11-02,,estimate,0,0,1,0,0,0,0,0,1
Delmiro Gouveia,2020-11-09,,estimate based on partial data,0,0,1,0,0,0,0,0,1
Lagoa da Canoa,2020-10-30,,estimate,0,0,1,0,0,0,0,0,1
Lagoa da Canoa,2020-11-06,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-10-11,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-10-18,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-10-25,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-10-26,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-01,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-02,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-08,,estimate,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-09,,estimate based on partial data,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-15,,estimate based on partial data,0,0,1,0,0,0,0,0,1
Matriz de Camaragibe,2020-11-16,,estimate based on partial data,0,0,1,0,0,0,0,0,1
Delmiro Gouveia,2020-11-16,,estimate based on partial data,0,0,1,0,0,0,0,0,2
Girau do Ponciano,2020-11-09,,estimate based on partial data,0,0,1,0,0,0,0,0,2
Girau do Ponciano,2020-11-16,,estimate based on partial data,0,0,1,0,0,0,0,0,2
Girau do Ponciano,2020-11-23,,forecast,0,0,1,0,0,0,0,0,2
Joaquim Gomes,2020-11-01,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-16,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-22,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-23,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-24,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-26,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-29,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-10-31,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-01,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-02,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-03,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-05,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-07,,estimate,0,0,1,0,0,0,0,0,2
Lagoa da Canoa,2020-11-13,,estimate based on partial data,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-09-27,,estimate,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-09-28,,estimate,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-10-04,,estimate,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-10-05,,estimate,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-10-12,,estimate,0,0,1,0,0,0,0,0,2
Matriz de Camaragibe,2020-10-19,,estimate,0,0,1,0,0,0,0,0,2
Delmiro Gouveia,2020-09-28,,estimate,0,0,1,0,0,0,0,1,2
Delmiro Gouveia,2020-10-18,,estimate,0,0,1,0,0,0,0,1,2
Delmiro Gouveia,2020-10-25,,estimate,0,0,1,0,0,0,0,1,2
Delmiro Gouveia,2020-11-01,,estimate,0,0,1,0,0,0,0,1,2
Girau do Ponciano,2020-11-02,,estimate,0,0,1,0,0,0,0,1,2
Joaquim Gomes,2020-10-18,,estimate,0,0,1,0,0,0,0,1,2
Joaquim Gomes,2020-10-25,,estimate,0,0,1,0,0,0,0,1,2
Joaquim Gomes,2020-11-08,,estimate,0,0,1,0,0,0,0,1,2
Pilar,2020-10-18,,estimate,0,0,1,0,0,0,0,1,2
Pilar,2020-10-25,,estimate,0,0,1,0,0,0,0,1,2
Pilar,2020-11-01,,estimate,0,0,1,0,0,0,0,1,2
Pilar,2020-11-08,,estimate,0,0,1,0,0,0,0,1,2
Pilar,2020-11-15,,estimate based on partial data,0,0,1,0,0,0,0,1,2
Joaquim Gomes,2020-11-15,,estimate based on partial data,0,0,2,0,0,0,0,0,2
Joaquim Gomes,2020-11-22,,forecast,0,0,2,0,0,0,0,0,2
Matriz de Camaragibe,2020-11-23,,forecast,0,0,2,0,0,0,0,0,2
Matriz de Camaragibe,2020-11-22,,forecast,0,0,3,0,0,0,0,0,2
Delmiro Gouveia,2020-10-11,,estimate,0,1,1,0,0,0,0,1,2
